measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_39,-1.678049018370758,0.292669126508617
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_4,1.0661153667088084,0.6393312356606461
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_40,-1.1056357097318563,0.6698806574603934
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_41,-1.506387667783503,0.29388797645113757
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_42,-0.8645050712797648,0.5851563865424451
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_43,0.28799877113515227,0.9973839671368732
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_44,-1.8281487890894126,0.21467290259203736
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_45,-2.361815049742429,0.06245503766508105
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_46,-1.1236361366917476,0.3971991547984464
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_47,-0.3542267240741908,0.8929515955334175
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_48,-0.38186204680866215,0.7036580757414064
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_49,-0.8420352476983678,0.603722021323633
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_5,-0.32650534693254646,0.900239188165336
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_50,-0.7258670704691373,0.7276774008034231
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_6,0.4327352535424606,0.6664657068503685
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_7,0.4576799025287486,0.9268524778015272
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_8,0.07432612220208396,0.9409514470259144
eccentricity,baseline,early,7Networks_LH_DorsAttn_Post_9,-0.43304722409730834,0.6662400770462659
eccentricity,baseline,early,7Networks_LH_DorsAttn_PrCv_1,-0.7849698994472194,0.6524656861535435
eccentricity,baseline,early,7Networks_LH_DorsAttn_PrCv_2,0.33960728297491727,0.851012975340795
eccentricity,baseline,early,7Networks_LH_DorsAttn_PrCv_3,-1.2625818782766844,0.3160557048351796
eccentricity,baseline,early,7Networks_LH_DorsAttn_PrCv_4,0.6656256820653293,0.5319103416765215
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_1,1.0844106457127107,0.46375228564411336
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_10,0.8134506710104271,0.6278540902446091
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_11,1.2624523432081747,0.3161251876103344
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_12,0.6547636689113748,0.8651015186799581
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_13,-0.29103122037275236,0.9559554571937003
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_14,-1.3028671988577711,0.29498983971871834
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_2,2.2660381610057594,0.07912054717912617
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_3,2.273049745365581,0.07777925626307
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_4,2.3797675892288344,0.059704173519616384
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_5,-0.7449367479428128,0.6880040405876583
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_6,0.5326259755506766,0.595888329363339
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_7,-0.4022560114024225,0.7474750886633412
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_8,0.8006951857631385,0.4258714010929543
eccentricity,baseline,early,7Networks_LH_Limbic_OFC_9,2.3710056630012977,0.06103298616026597
