,comp,region_idx,diff,tstat,pvalue,signif
28391,ecc,160,early_learning_2_late_learning,-0.6030804242364234,0.5482048010275424,0
28396,ecc,161,baseline_2_early_learning,-0.8901285186002926,0.376134171225065,0
28397,ecc,161,baseline_2_late_learning,-0.3265049046357389,0.7449168622042943,0
28400,ecc,161,early_learning_2_late_learning,0.5180309092645099,0.6059030079051344,0
28405,ecc,162,baseline_2_early_learning,-0.40147815236413364,0.6891659706345075,0
28406,ecc,162,baseline_2_late_learning,-1.0120477941045543,0.3146443748202585,0
28409,ecc,162,early_learning_2_late_learning,-0.4971187354014769,0.6205037008901135,0
28414,ecc,163,baseline_2_early_learning,-0.9279788748395869,0.3562812794681459,0
28415,ecc,163,baseline_2_late_learning,-1.1924628483337696,0.23669490651753727,0
28418,ecc,163,early_learning_2_late_learning,-0.196782642980337,0.8445094771445298,0
28423,ecc,164,baseline_2_early_learning,-0.6590740485273654,0.5117892858564685,0
28424,ecc,164,baseline_2_late_learning,-3.06502995022398,0.00298892893944416,1
28427,ecc,164,early_learning_2_late_learning,-2.089407700213334,0.0399310791705361,1
28432,ecc,165,baseline_2_early_learning,-1.0475749552886453,0.2980697982529596,0
28433,ecc,165,baseline_2_late_learning,-1.4952358271068031,0.13888796264210979,0
28436,ecc,165,early_learning_2_late_learning,-0.3637143914818032,0.7170552892939897,0
28441,ecc,166,baseline_2_early_learning,-1.0154950168279269,0.31300958014387775,0
28442,ecc,166,baseline_2_late_learning,-1.5032472883951624,0.13681350165416076,0
28445,ecc,166,early_learning_2_late_learning,-0.438403720830707,0.6623054904608713,0
28450,ecc,167,baseline_2_early_learning,-1.5174789142707366,0.13318858885284662,0
28451,ecc,167,baseline_2_late_learning,-1.4124551204543305,0.16179357816866619,0
28454,ecc,167,early_learning_2_late_learning,0.1342351964283154,0.893562358212875,0
28459,ecc,168,baseline_2_early_learning,-0.7991226268381014,0.42664605408396106,0
28460,ecc,168,baseline_2_late_learning,-1.2148663842470673,0.22808191603607714,0
28463,ecc,168,early_learning_2_late_learning,-0.34454803878378476,0.7313614327563434,0
28468,ecc,169,baseline_2_early_learning,-2.541592736140189,0.013017532249303831,1
28469,ecc,169,baseline_2_late_learning,-1.618820240914498,0.10952270053493357,0
28472,ecc,169,early_learning_2_late_learning,0.7795508289677034,0.4380142638398721,0
28477,ecc,170,baseline_2_early_learning,-0.9819634126788035,0.32915395289730787,0
28478,ecc,170,baseline_2_late_learning,-0.737313793333769,0.4631437625688434,0
28481,ecc,170,early_learning_2_late_learning,0.2510841408870096,0.802409332821367,0
28486,ecc,171,baseline_2_early_learning,-2.3093088147426224,0.023573690139771782,1
28487,ecc,171,baseline_2_late_learning,-1.983056771447365,0.050881214211927525,0
28490,ecc,171,early_learning_2_late_learning,0.4484988759994656,0.6550366554041083,0
28495,ecc,172,baseline_2_early_learning,-1.2202989703979912,0.2260280826693135,0
28496,ecc,172,baseline_2_late_learning,0.2204914340990863,0.8260645516854728,0
28499,ecc,172,early_learning_2_late_learning,1.4009200471937011,0.16520398522904994,0
28504,ecc,173,baseline_2_early_learning,-1.0781552292591683,0.2842874950858649,0
28505,ecc,173,baseline_2_late_learning,-1.3392904427160206,0.18436578590437336,0
28508,ecc,173,early_learning_2_late_learning,-0.1577717373569458,0.8750443954600269,0
28513,ecc,174,baseline_2_early_learning,-0.8461131284707817,0.4000779569353097,0
28514,ecc,174,baseline_2_late_learning,-0.9170948334142284,0.3619199157652625,0
28517,ecc,174,early_learning_2_late_learning,-0.040738436079330365,0.9676085171650727,0
28522,ecc,175,baseline_2_early_learning,-0.9366487047302209,0.3518303603664771,0
28523,ecc,175,baseline_2_late_learning,-0.8543215225502029,0.3955431725969414,0
28526,ecc,175,early_learning_2_late_learning,0.20158019932592497,0.8407697092750772,0
28531,ecc,176,baseline_2_early_learning,-0.7197697379980724,0.47381801351298636,0
28532,ecc,176,baseline_2_late_learning,-1.6626797609409114,0.10039019408310539,0
28535,ecc,176,early_learning_2_late_learning,-0.6374962623155993,0.5256685697588065,0
28540,ecc,177,baseline_2_early_learning,-0.6584440358521281,0.5121917431810241,0
28541,ecc,177,baseline_2_late_learning,-0.017810431255532867,0.9858355631930379,0
28544,ecc,177,early_learning_2_late_learning,0.6256144324441901,0.5333941525115672,0
28549,ecc,178,baseline_2_early_learning,-0.8218287648169318,0.41367943056953416,0
28550,ecc,178,baseline_2_late_learning,-0.8417174245461256,0.4025194403877147,0
28553,ecc,178,early_learning_2_late_learning,0.09895699973378223,0.9214262899354385,0
28558,ecc,179,baseline_2_early_learning,-0.6648760718030311,0.5080908276240017,0
28559,ecc,179,baseline_2_late_learning,0.7227626110028081,0.4719873752963868,0
28562,ecc,179,early_learning_2_late_learning,1.2318182207484245,0.22171771708722382,0
28567,ecc,180,baseline_2_early_learning,-0.584100546617047,0.5608381701528421,0
28568,ecc,180,baseline_2_late_learning,-0.3399920682926603,0.7347763749464664,0
28571,ecc,180,early_learning_2_late_learning,0.2726054348833513,0.7858769222547014,0
28576,ecc,181,baseline_2_early_learning,-0.6631666081104636,0.5091790258952293,0
28577,ecc,181,baseline_2_late_learning,0.8073015067139715,0.4219477988245566,0
28580,ecc,181,early_learning_2_late_learning,1.3206010821454561,0.19049617527857407,0
28585,ecc,182,baseline_2_early_learning,0.6776644040517469,0.4999897313501307,0
28586,ecc,182,baseline_2_late_learning,0.3331395524488504,0.739922762032049,0
28589,ecc,182,early_learning_2_late_learning,-0.3708455425542411,0.7117578612270905,0
28594,ecc,183,baseline_2_early_learning,-1.7320407629369698,0.087219260589761,0
28595,ecc,183,baseline_2_late_learning,-1.5792936505315411,0.11831579427722301,0
28598,ecc,183,early_learning_2_late_learning,0.3708358865738943,0.7117650247322108,0
28603,ecc,184,baseline_2_early_learning,0.16008595148974236,0.8732272178776431,0
28604,ecc,184,baseline_2_late_learning,-0.4120774086239028,0.6814129889565748,0
28607,ecc,184,early_learning_2_late_learning,-0.5429989894432902,0.5886788561886176,0
28612,ecc,185,baseline_2_early_learning,-1.1952262928951753,0.2356200061250911,0
28613,ecc,185,baseline_2_late_learning,-2.2741107688613003,0.025708282130070575,1
28616,ecc,185,early_learning_2_late_learning,-0.5922091399562995,0.555423386010963,0
28621,ecc,186,baseline_2_early_learning,-1.6026230862009143,0.11306009714092966,0
28622,ecc,186,baseline_2_late_learning,0.22294865523326696,0.8241582839172281,0
28625,ecc,186,early_learning_2_late_learning,1.6317516085723889,0.10676302426155766,0
28630,ecc,187,baseline_2_early_learning,-1.695891185231988,0.0938946773270973,0
28631,ecc,187,baseline_2_late_learning,-2.652383641729072,0.009679109813514677,1
28634,ecc,187,early_learning_2_late_learning,-0.6206962885846068,0.5366089730559849,0
28639,ecc,188,baseline_2_early_learning,-1.2233225159392096,0.22489085082026708,0
28640,ecc,188,baseline_2_late_learning,-2.525720711758584,0.013572754192126321,1
28643,ecc,188,early_learning_2_late_learning,-0.9688368681656814,0.3356212169645878,0
28648,ecc,189,baseline_2_early_learning,-2.0187521920258553,0.046949708981699804,1
28649,ecc,189,baseline_2_late_learning,-2.024684740169356,0.04632220326702816,1
28652,ecc,189,early_learning_2_late_learning,0.2931164620644605,0.7702115495174736,0
28657,ecc,190,baseline_2_early_learning,0.5238029616543669,0.6019007762674031,0
28658,ecc,190,baseline_2_late_learning,0.017719819887926334,0.9859076177422021,0
28661,ecc,190,early_learning_2_late_learning,-0.5220795186353278,0.6030945064314768,0
28666,ecc,191,baseline_2_early_learning,-0.5367343253860274,0.5929788181561162,0
28667,ecc,191,baseline_2_late_learning,-0.7226180878554713,0.47207568378405873,0
28670,ecc,191,early_learning_2_late_learning,-0.18067265247305722,0.8570931403972941,0
28675,ecc,192,baseline_2_early_learning,-2.021828388136657,0.04662342519400276,1
28676,ecc,192,baseline_2_late_learning,-2.171992052556106,0.03289438300976008,1
28679,ecc,192,early_learning_2_late_learning,-0.05510649230542484,0.9561945321971466,0
28684,ecc,193,baseline_2_early_learning,-0.9941470259699531,0.32322540565090596,0
28685,ecc,193,baseline_2_late_learning,-0.3262413200524797,0.7451154978456034,0
28688,ecc,193,early_learning_2_late_learning,0.6287422534313611,0.5313547788748061,0
28693,ecc,194,baseline_2_early_learning,0.013946007025813998,0.9889086668148213,0
28694,ecc,194,baseline_2_late_learning,-0.3667914771778222,0.7147677335721706,0
28697,ecc,194,early_learning_2_late_learning,-0.34677619135724014,0.7296932823723443,0
28702,ecc,195,baseline_2_early_learning,0.3258011193738328,0.7454472687515716,0
28703,ecc,195,baseline_2_late_learning,-0.19859672740381937,0.8430949459083614,0
28706,ecc,195,early_learning_2_late_learning,-0.5203807395653393,0.6042722146956788,0
28711,ecc,196,baseline_2_early_learning,0.7126155229840964,0.4782100836650762,0
28712,ecc,196,baseline_2_late_learning,0.07544646528558444,0.9400526620939079,0
28715,ecc,196,early_learning_2_late_learning,-0.5946652385887176,0.5537883943955086,0
28720,ecc,197,baseline_2_early_learning,-2.5460627303209056,0.012864905744480485,1
28721,ecc,197,baseline_2_late_learning,-0.6828362178998578,0.4967334614662594,0
28724,ecc,197,early_learning_2_late_learning,1.61413597430056,0.11053643930691225,0
28729,ecc,198,baseline_2_early_learning,-1.8820401117465697,0.063560501645127,0
28730,ecc,198,baseline_2_late_learning,-0.5578352517696675,0.5785544675585035,0
28733,ecc,198,early_learning_2_late_learning,1.246051457004774,0.21647511254386306,0
28738,ecc,199,baseline_2_early_learning,-0.6119099512548486,0.5423769235813767,0
28739,ecc,199,baseline_2_late_learning,-0.18416332768143973,0.8543632801405067,0
28742,ecc,199,early_learning_2_late_learning,0.49847896612163906,0.6195492637870823,0
28747,ecc,200,baseline_2_early_learning,-1.7890931855146475,0.0774819069189201,0
28748,ecc,200,baseline_2_late_learning,-0.8081526632950801,0.4214606449197329,0
28751,ecc,200,early_learning_2_late_learning,1.1452483546307217,0.2556081211973208,0
28756,ecc,201,baseline_2_early_learning,-0.4623558174220724,0.645113347240031,0
28757,ecc,201,baseline_2_late_learning,-0.32546801150534926,0.7456983578304701,0
28760,ecc,201,early_learning_2_late_learning,0.18151956991658227,0.856430652586669,0
28765,ecc,202,baseline_2_early_learning,-0.8737410451379365,0.38494145530746604,0
28766,ecc,202,baseline_2_late_learning,-1.3298094856826441,0.18745682184465232,0
